net,length_um
_08756_,148.95
_07548_,148.94
_08406_,148.26
_08873_,148.14
_06983_,148.1
_06799_,147.99
_02931_,147.92
_03958_,147.5
_02771_,147.33
_05757_,147.08
_05827_,147.03
_03177_,146.91
_04081_,146.9
clknet_0__03686_,146.58
_06194_,146.53
_06217_,146.48
_07979_,146.38
_04209_,146.26
_06234_,146.26
clk,146.25
clknet_1_1__leaf__08511_,146.16
_05540_,145.96
_03652_,145.73
_08751_,145.68
clknet_0__04982_,145.62
_04890_,145.48
_07023_,145.24
_04075_,145.2
clknet_1_0__leaf__08486_,145.16
_04426_,144.98
clknet_1_0__leaf__08464_,144.92
_07453_,144.84
net1342,144.78
_04287_,144.32
_04574_,144.16
_06172_,144.1
_06055_,144.04
_07703_,143.9
_03654_,143.82
_04505_,143.64
clknet_1_0__leaf__05015_,143.56
_06713_,143.49
clknet_1_1__leaf__08458_,143.49
CPU.PC\[13\],143.24
_03244_,142.94
_08486_,142.84
clknet_1_0__leaf__03690_,142.81
clknet_1_1__leaf__08366_,142.66
clknet_1_1__leaf__08365_,142.59
_03848_,142.5
_04018_,142.23
_04242_,142.125
_07706_,141.86
_02727_,141.84
_03931_,141.16
_08831_,140.58
_04428_,139.72
_04431_,139.715
_04305_,139.7
_03027_,139.68
net1655,139.64
_04460_,139.61
_03091_,139.51
_08839_,139.25
_03139_,139.22
_04472_,139.22
_06438_,139.17
_08040_,139.14
_03976_,138.77
_05857_,138.74
_02733_,138.33
CPU.Jimm\[14\],138.25
_04467_,137.98
_04502_,137.6
_04017_,137.39
_05531_,137.2
CPU.Jimm\[12\],137.14
_05218_,136.855
_04117_,136.7
_03025_,136.695
_08629_,136.57
_04389_,136.31
_08795_,136.205
clknet_1_1__leaf__08367_,136.2
clknet_1_1__leaf__08478_,135.95
_03494_,135.82
net1466,135.82
_06126_,135.75
clknet_1_0__leaf__08468_,135.67
_04390_,135.64
clknet_1_0__leaf__04985_,135.37
_03837_,135.33
_04441_,135.23
_03637_,134.98
_04587_,134.94
_04646_,134.925
clknet_1_0__leaf__08448_,134.63
_08451_,134.52
_06777_,134.5
clknet_1_1__leaf__08363_,134.27
clknet_1_1__leaf__08492_,134.18
_00000_,133.995
_04080_,133.92
_02894_,133.73
_06687_,133.69
_03130_,133.65
clknet_leaf_17_clk,133.64
_05542_,133.38
_04624_,133.36
_04284_,133.06
_04068_,132.84
_04319_,132.75
_03219_,132.66
_07942_,132.58
_08853_,132.58
clknet_1_1__leaf__08345_,132.46
_06485_,132.24
_05287_,132.08
mapped_spi_flash.state\[1\],131.96
_08192_,131.92
clknet_1_0__leaf__03691_,131.92
_03851_,131.88
clknet_1_1__leaf__08452_,131.79
_02755_,131.6
_08521_,131.6
_03236_,131.46
_03159_,131.205
_02759_,131.2
_07620_,130.94
_06449_,130.9
_06889_,130.84
clknet_1_1__leaf__03690_,130.5
_06483_,130.2
_03111_,130.14
_02948_,129.72
_08310_,129.4
_04532_,129.26
_08857_,129.24
clknet_1_0__leaf__08494_,128.96
_03720_,128.92
_04252_,128.645
_04037_,128.63
_02775_,128.61
_07008_,128.53
_05245_,128.29
_08776_,128.22
_08180_,128.18
_04419_,128.12
_03307_,127.71
_06261_,127.63
net1421,127.62
_06554_,127.58
_05783_,127.5
CPU.registerFile\[24\]\[6\],127.46
_04165_,127.36
_03681_,127.32
_02971_,127.26
_02734_,127.065
_03927_,127.06
clknet_1_1__leaf__08503_,126.83
_07260_,126.73
_02798_,126.725
_08527_,126.715
_05553_,126.65
_06881_,126.58
clknet_0_clk,126.42
_08502_,126.16
_07635_,126.08
_08530_,126.02
_04347_,125.54
_03175_,125.33
clknet_1_1__leaf__03656_,125.33
_02871_,125.23
clknet_1_1__leaf__03684_,125.17
_08809_,124.94
clknet_1_0__leaf__08452_,124.79
_03151_,124.5
_02773_,124.34
_05262_,124.32
_08870_,124.26
_04072_,123.98
_05904_,123.92
_04960_,123.8
clknet_1_1__leaf__08471_,123.69
_03195_,123.58
_03602_,123.46
clknet_1_0__leaf__08502_,123.12
_04246_,122.77
_04233_,122.66
_08440_,122.38
_02815_,122.34
clknet_1_0__leaf__08500_,122.34
clknet_0__08448_,122.15
mapped_spi_ram.rbusy,122.1
_08808_,121.93
_08841_,121.775
_04663_,121.64
_03200_,121.52
_06412_,121.37
_03235_,121.32
_02785_,121.26
_03132_,121.22
net1346,121.22
clknet_0__08495_,121.02
_02753_,120.96
_08363_,120.86
clknet_1_0__leaf__08497_,120.76
_07438_,120.63
_08764_,120.56
clknet_1_1__leaf__08369_,120.52
_03529_,120.5
_04090_,120.475
_05911_,120.38
_08686_,120.36
_06529_,120.34
clknet_leaf_23_clk,120.315
_05788_,120.1
_04458_,120.06
_08484_,120.06
clknet_leaf_6_clk,119.95
_03564_,119.93
_02757_,119.62
clknet_1_0__leaf__08434_,119.6
CPU.PC\[2\],119.555
CPU.mem_wbusy,119.4
_05528_,119.325
CPU.registerFile\[24\]\[14\],119.23
clknet_1_1__leaf__08444_,119.19
_07584_,118.92
net1338,118.84
_05698_,118.785
clknet_1_1__leaf__08502_,118.68
_04613_,118.36
CPU.PC\[14\],118.2
_03260_,118.2
_08051_,118.18
_08489_,118.1
_03684_,118.04
_05790_,117.98
_03136_,117.94
_06197_,117.775
_04925_,117.77
clknet_1_0__leaf__08449_,117.71
_02725_,117.46
clknet_leaf_25_clk,116.94
_05719_,116.92
_03298_,116.7
_08340_,116.62
clknet_0__03681_,116.6
clknet_0__08466_,116.48
clknet_1_1__leaf__08468_,116.35
_05907_,116.34
_08452_,116.34
_07475_,116.16
_04543_,116
_04425_,115.84
clknet_1_1__leaf__08454_,115.83
_08622_,115.805
_08335_,115.66
clknet_1_1__leaf__03681_,115.63
_04485_,115.375
clknet_1_0__leaf__08489_,115.33
_03094_,115.26
clknet_0__08451_,115.05
_03600_,114.6
_04572_,114.6
_05667_,114.41
CPU.rs2\[9\],114.24
clknet_0__08484_,114.23
CPU.aluIn1\[5\],114.19
_03179_,114.02
_05912_,113.795
_05538_,113.74
CPU.instr\[6\],113.62
_02943_,113.54
_05053_,113.48
_07714_,113.275
CPU.registerFile\[24\]\[11\],112.88
clknet_0__03654_,112.64
_07657_,112.58
_05285_,112.43
_06464_,112.33
net1384,112.28
clknet_leaf_7_clk,112.24
_06871_,112.05
_03943_,112.04
_08411_,111.975
_04168_,111.92
_02839_,111.86
_04554_,111.66
clknet_1_0__leaf__08365_,111.55
clknet_1_1__leaf__03653_,111.49
clknet_1_0__leaf__04984_,111.46
_08379_,111.33
clknet_0__03643_,111.27
_04295_,110.8
CPU.instr\[4\],110.72
_06063_,110.68
_03334_,110.67
CPU.registerFile\[24\]\[3\],110.28
clknet_1_0__leaf__08446_,110.21
_03692_,110.2
_05558_,110.13
clknet_0__03652_,109.94
net11,109.84
clknet_0__08367_,109.77
CPU.registerFile\[24\]\[8\],109.72
_05741_,109.64
_03901_,109.58
_08264_,109.57
clknet_leaf_5_clk,109.5
_06974_,109.34
_04381_,109.3
_08364_,109.28
_02831_,109.18
_05731_,109.09
_08716_,109.05
_08706_,109.03
_04484_,108.96
_04445_,108.76
_04333_,108.54
clknet_1_1__leaf__04979_,108.5
_02832_,108.49
_03775_,108.44
_07175_,108.42
_05547_,108.38
_07149_,108.24
_08370_,108.16
_04488_,107.96
clknet_0__08500_,107.77
_02791_,107.72
_08749_,107.69
CPU.PC\[12\],107.65
CPU.registerFile\[24\]\[4\],107.64
_04170_,107.47
_04141_,107.45
_03855_,107.245
_07374_,107.2
_06776_,106.74
_03097_,106.66
_04187_,106.56
clknet_1_0__leaf__08510_,106.53
_03803_,106.49
_08434_,106.48
_02829_,106.08
_02817_,105.96
clknet_1_0__leaf__03639_,105.9
_04499_,105.86
_08552_,105.8
clknet_0__08497_,105.68
_05268_,105.65
_04650_,105.48
_08594_,105.44
_04176_,105.32
_07800_,105.22
_04514_,105.12
CPU.registerFile\[24\]\[15\],105.08
_04175_,105.015
CPU.PC\[4\],104.9
CPU.mem_rstrb,104.71
clknet_leaf_12_clk,104.6
_05260_,104.48
_03758_,104.44
_08466_,104.42
_05025_,104.16
_04128_,104.15
_08311_,104.11
_04340_,104.06
_06507_,104.02
_03828_,103.905
clknet_0__08440_,103.81
_08711_,103.68
_03636_,103.66
clknet_0__08441_,103.51
_04379_,103.46
_05717_,103.43
clknet_1_0__leaf__03653_,103.42
_06854_,103.3
_04098_,103.18
clknet_1_1__leaf__08500_,103.15
clknet_1_0__leaf__08501_,102.93
clknet_1_0__leaf__08471_,102.74
clknet_0__08489_,102.71
_08503_,102.68
_04456_,102.52
CPU.registerFile\[24\]\[16\],102.5
_08672_,102.44
clknet_1_1__leaf__08445_,102.39
_03058_,102.3
clknet_0__03688_,102.14
_05058_,102.02
clknet_1_1__leaf__08496_,101.98
_03189_,101.88
_08739_,101.76
_05134_,101.69
_05247_,101.38
_06999_,101.38
CPU.PC\[11\],101.27
_08595_,101.255
clknet_1_1__leaf__08493_,101.17
_08814_,101.08
clknet_leaf_0_clk,100.98
CPU.registerFile\[24\]\[13\],100.62
_08798_,100.59
clknet_1_1__leaf__08474_,100.46
net1428,100.46
_07007_,100.42
CPU.aluIn1\[28\],100.34
_07906_,100.3
_07147_,100.125
_08331_,99.78
_06047_,99.72
_07133_,99.58
clknet_1_1__leaf__08477_,99.55
_03014_,99.52
_07039_,99.52
_05683_,99.41
_05550_,99.39
_02973_,99.2
_08850_,99.16
CPU.registerFile\[24\]\[2\],98.99
_08473_,98.84
_03550_,98.8
_05685_,98.78
_02896_,98.7
_07033_,98.6
_08677_,98.325
clknet_1_0__leaf__08363_,98.275
clknet_1_0__leaf__08367_,98.16
_03055_,98.08
_04623_,98.04
_04413_,98.02
_08755_,98
_07151_,97.88
_04027_,97.755
_04687_,97.74
clknet_1_1__leaf__08368_,97.73
_07488_,97.58
CPU.registerFile\[24\]\[5\],97.49
_04872_,97.38
_02746_,97.26
_04084_,97.2
_04113_,97.1
_07738_,97.075
_07713_,97.01
_02788_,96.78
clknet_1_0__leaf__08477_,96.72
_04881_,96.44
_03915_,96.415
_04257_,96.4
CPU.registerFile\[24\]\[10\],96.39
_08663_,96.3
clknet_1_0__leaf__08498_,96.27
_03586_,96.22
clknet_leaf_15_clk,96.155
clknet_0__08486_,95.99
_03678_,95.76
clknet_1_0__leaf__08474_,95.6
clknet_leaf_14_clk,95.46
_08573_,95.3
_07724_,95.22
_02933_,95.16
_07787_,95.14
clknet_1_0__leaf__08437_,94.92
CPU.registerFile\[24\]\[9\],94.86
clknet_1_0__leaf__08442_,94.84
_04300_,94.76
_04182_,94.72
_08640_,94.72
_08492_,94.68
_03640_,94.64
_04066_,94.58
_06864_,94.52
_03241_,94.34
